         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         1,   2098.13,         1,         1,         4,1.0003e+06,       751,    65.421,       173,     6.215,        18,   756.905,        20,       746,        10,         4,         0,         0,         0,    11.597,        20,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3566.34,         5,         5,        25,1.21747e+06,      1097,    246.73,       775,    60.626,       215,   14065.2,       167,     13925,       152,        27,        34,         0,         0,   210.605,       278,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   5432.45,        10,        10,        50,1.21343e+06,      1102,   816.608,      1898,   149.001,       648,   39263.2,       307,     38942,       354,        52,       139,         0,         0,    784.51,      1007,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8734.83,        25,        25,       167,1.55193e+06,      1117,   2291.61,      5840,   749.196,      3132,    186173,      1102,    184753,      1512,       157,       684,         0,         0,   3238.63,      3559,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   13237.2,        48,        50,       450,1.24162e+06,      1142,   6395.36,     15543,   3868.07,     14500,    711865,      4424,    705129,      6262,       553,      2758,         0,         0,   9800.82,     11082,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1483.45,         1,         1,         4,    207102,       521,    25.777,        91,     5.793,        23,   1469.59,        28,      1450,        18,         3,         0,         0,         0,    11.369,        21,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4412.62,         4,         5,        26,1.34441e+06,      1101,   303.605,      1049,    54.174,       212,   14336.2,       160,     14176,       171,        18,        53,         0,         0,   240.162,       337,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   6042.55,        10,        10,        64,1.36805e+06,      1106,   1081.77,      2600,   150.856,       617,   38906.8,       339,     38499,       438,        43,       194,         0,         0,   743.303,       995,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   9414.93,        24,        27,       192,1.38187e+06,      1121,   2906.95,      7165,   920.484,      4409,    175674,      1644,    173571,      2096,       233,       855,         0,         0,   3340.46,      4312,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   11865.3,        52,        52,       466,1.53248e+06,      1146,   5093.35,     12423,   2709.43,     12242,    473995,      3836,    468196,      5408,       508,      2441,         0,         0,   7033.35,      8761,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1001.86,         1,         1,         2,    331637,       740,    42.738,        95,     3.133,        13,   276.491,        15,       270,         4,         4,         0,         0,         0,     7.637,        15,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4135.29,         5,         5,        26,1.27376e+06,      1098,   339.861,      1037,    50.462,       172,   9953.68,       111,      9836,       116,        17,        43,         0,         0,   308.525,       349,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
