         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   1143.53,         1,         1,         3,         0,         0,    271.88,       779,    13.031,        53,   522.716,         8,      0.78,         8,   1843.94,        12,      1839,         5,         0,         0,    1613.6,        12,      1608,         5,         1,     7.497,        51,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1355.15,         4,         4,         2,         0,         0,   947.548,      2851,    20.181,        77,   624.154,        54,     7.111,        54,   2867.92,        20,      2856,        12,         0,         0,   2390.53,        20,      2368,        12,         3,     7.658,        40,    496737,    390046,    188905,    307713,      7547,      8385
         1,   605.021,         1,         1,         2,         0,         0,   329.025,      1105,     5.044,        25,   480.508,         7,     0.235,         7,   1763.95,        11,      1759,         4,         0,         0,    1862.3,        11,      1858,         4,         1,     7.833,       103,    496737,    390046,    188905,    307713,      7547,      8385
         1,   487.075,         1,         1,         2,         0,         0,   229.856,       676,     6.538,        24,   474.446,         8,     0.721,         8,   1665.51,        12,      1660,         4,         0,         0,   1995.09,        12,      1989,         4,         2,     5.529,        51,    496737,    390046,    188905,    307713,      7547,      8385
         1,    371.08,         1,         1,         2,         0,         0,    21.681,        71,     3.899,        18,   451.526,         5,     0.037,         5,   1259.71,         8,      1257,         2,         0,         0,    1120.2,         8,      1118,         2,         0,     0.229,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1332.61,         2,         2,         6,         0,         0,   760.046,      2501,    34.491,       119,   455.801,        72,     9.136,        72,   10914.1,        31,     10894,        20,         0,         0,   11839.1,        31,     11811,        20,         2,     2.203,        24,    496737,    390046,    188905,    307713,      7547,      8385
         1,   517.325,         1,         1,         2,         0,         0,   373.687,       927,       4.8,        21,   445.051,         1,     0.019,         1,      0.33,         5,         0,         0,         0,         0,     0.248,         5,         0,         0,         0,     8.974,        77,    496737,    390046,    188905,    307713,      7547,      8385
         1,   218.009,         1,         1,         2,         0,         0,    22.605,        64,     2.971,        13,   441.231,         5,     0.034,         5,   901.364,        10,       898,         2,         0,         0,   1132.53,        10,      1129,         2,         0,     0.881,        31,    496737,    390046,    188905,    307713,      7547,      8385
         1,   232.019,         1,         1,         2,         0,         0,    10.183,        37,      0.91,         7,    451.67,         1,     0.016,         1,     0.225,         5,         0,         0,         0,         0,     0.282,         5,         0,         0,         0,      1.06,        14,    496737,    390046,    188905,    307713,      7547,      8385
         1,   297.791,         1,         1,         3,         0,         0,   144.433,       481,     4.287,        22,    491.79,         7,     0.631,         7,   1799.76,        10,      1794,         4,         0,         0,   1648.77,        10,      1644,         4,         1,     6.745,        73,    496737,    390046,    188905,    307713,      7547,      8385
         1,   955.397,         1,         1,         2,         0,         0,   249.282,       747,      8.59,        41,   441.426,         5,     0.034,         5,   698.337,         8,       696,         2,         0,         0,    361.35,         8,       360,         2,         0,     0.192,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   65.3911,         1,         1,         2,         0,         0,    408.71,      1236,     0.361,         6,   437.751,         1,     0.018,         1,     0.315,         6,         0,         0,         0,         0,     0.177,         6,         0,         0,         0,     4.488,       108,    496737,    390046,    188905,    307713,      7547,      8385
         1,   887.586,         1,         1,         4,         0,         0,   224.453,       807,    16.326,        57,    528.97,        16,     2.628,        16,   3925.88,        19,      3912,        12,         0,         0,   2973.15,        19,      2958,        12,         1,     6.161,        44,    496737,    390046,    188905,    307713,      7547,      8385
         1,   394.606,         1,         1,         2,         0,         0,    19.851,        61,      1.84,        13,   492.482,         5,     0.035,         5,   1069.19,        11,      1067,         2,         0,         0,   1019.27,        11,      1017,         2,         0,     1.908,        50,    496737,    390046,    188905,    307713,      7547,      8385
         1,   766.662,         1,         1,         2,         0,         0,    25.616,        64,    10.404,        33,   515.922,         7,     0.278,         7,   1625.21,        12,      1619,         4,         0,         0,   1714.94,        12,      1711,         4,         1,     2.749,        42,    496737,    390046,    188905,    307713,      7547,      8385
         1,   741.583,         1,         1,         2,         0,         0,    404.11,      1145,    12.921,        44,   439.484,         8,     0.677,         8,   1491.54,        12,      1483,         4,         0,         0,   1116.29,        12,      1111,         4,         2,     1.872,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   900.299,         1,         1,         3,         0,         0,   423.869,      1246,    12.185,        55,   586.287,         9,     2.216,         9,   5004.52,        14,      4991,         7,         0,         0,   5560.49,        14,      5551,         7,         2,     9.192,        71,    496737,    390046,    188905,    307713,      7547,      8385
         1,   991.814,         3,         3,         3,         0,         0,   748.163,      1421,    37.735,        92,   715.896,        66,    20.616,        66,   9930.07,        20,      9904,        14,         0,         0,   12821.9,        20,     12791,        14,         0,    14.422,        89,    496737,    390046,    188905,    307713,      7547,      8385
         1,   709.481,         1,         1,         3,         0,         0,   450.532,       970,    10.882,        31,   522.603,         7,      0.42,         7,   3118.94,        16,      3108,         6,         0,         0,    3277.7,        16,      3259,         6,         1,     8.281,       125,    496737,    390046,    188905,    307713,      7547,      8385
         1,   889.931,         2,         2,         4,         0,         0,   431.645,      1356,    16.197,        34,   612.637,        27,     7.093,        27,   3415.86,        16,      3400,         8,         0,         0,   3696.77,        16,      3683,         8,         1,     4.843,        31,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1305.23,         1,         1,         4,         0,         0,   887.583,      2309,    35.998,        78,   497.913,         9,     1.623,         9,   4247.72,        14,      4232,         7,         0,         0,   3935.63,        14,      3917,         7,         0,     6.058,        47,    496737,    390046,    188905,    307713,      7547,      8385
