         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   1501.88,         1,         2,         0,         0,    1167.4,      1988,    36.456,       104,   129.157,        12,     1.215,        12,   418.679,        14,       408,         5,         0,         0,   417.662,        14,       411,         5,         3,     4.326,        50,    431960,    365015,    188905,    691136,       671,      8385
         1,   1623.44,         2,         4,         0,         0,   1564.09,      2915,    27.022,       109,   136.282,        30,     4.193,        30,   1442.59,        22,      1420,        14,         0,         0,   1438.84,        22,      1417,        14,         2,     6.454,        54,    431960,    365015,    188905,    691136,       671,      8385
         1,   3426.44,         1,         4,         0,         0,   4155.71,      7504,   209.691,       596,   147.828,        37,     6.336,        37,   3998.64,        39,      3959,        25,         0,         0,   4509.77,        39,      4465,        25,         7,    27.136,        95,    431960,    365015,    188905,    691136,       671,      8385
         1,   1899.77,         1,         5,         0,         0,   1692.88,      3179,    75.798,       183,   141.941,        26,     5.624,        26,   1727.12,        28,      1698,        15,         0,         0,   1753.57,        28,      1725,        15,         5,    10.517,        51,    431960,    365015,    188905,    691136,       671,      8385
         1,   1451.68,         1,         3,         0,         0,   1526.33,      2286,    43.539,       130,   130.737,        16,     2.127,        16,   1564.77,        21,      1546,         9,         0,         0,   1476.13,        21,      1461,         9,         5,     4.468,        25,    431960,    365015,    188905,    691136,       671,      8385
         1,   2601.76,         1,         8,         0,         0,   3741.68,      6742,   132.152,       334,   139.653,        36,     6.867,        36,   3166.94,        40,      3114,        30,         0,         0,   3165.57,        40,      3124,        30,         3,    12.412,        90,    431960,    365015,    188905,    691136,       671,      8385
         1,     380.8,         1,         2,         0,         0,   287.905,       490,     3.117,        12,   130.225,         7,      0.59,         7,   280.543,         9,       276,         3,         0,         0,   330.001,         9,       325,         3,         1,      2.92,        19,    431960,    365015,    188905,    691136,       671,      8385
         1,   913.565,         1,         3,         0,         0,   884.804,      1529,    12.599,        41,   145.104,        13,     1.948,        13,   905.222,        15,       892,         7,         0,         0,   1087.38,        15,      1071,         7,         3,      4.26,        24,    431960,    365015,    188905,    691136,       671,      8385
         1,   2491.32,         1,         4,         0,         0,   3470.84,      6042,   119.714,       350,    139.86,        38,     7.532,        38,   3473.84,        41,      3428,        27,         0,         0,   3454.16,        41,      3407,        27,         8,    32.627,       231,    431960,    365015,    188905,    691136,       671,      8385
         1,   1162.12,         1,         6,         0,         0,     678.7,      1222,    18.154,        70,   130.738,        22,      3.84,        22,   1584.43,        25,      1560,        17,         0,         0,    1532.1,        25,      1510,        17,         2,     0.247,        12,    431960,    365015,    188905,    691136,       671,      8385
         1,   1700.66,         1,         3,         0,         0,   1416.52,      2419,    36.647,       111,   177.341,        22,     4.528,        22,   1750.62,        23,      1719,        16,         0,         0,   1517.71,        23,      1490,        16,         2,     6.423,        37,    431960,    365015,    188905,    691136,       671,      8385
         1,   3037.58,         1,         5,         0,         0,   4418.21,      8612,   285.688,       529,   151.199,        69,    16.015,        69,   4528.06,        71,      4444,        56,         0,         0,   4624.76,        71,      4542,        56,         7,     7.028,        70,    431960,    365015,    188905,    691136,       671,      8385
         1,   1652.94,         1,         4,         0,         0,   1797.27,      3423,    39.756,       141,   144.786,        18,     3.295,        18,   1315.16,        20,      1297,        12,         0,         0,   1334.71,        20,      1317,        12,         2,     0.043,         5,    431960,    365015,    188905,    691136,       671,      8385
         1,   2082.71,         1,         5,         0,         0,   2993.26,      4936,   156.727,       364,   133.066,        13,     2.103,        13,   971.009,        18,       952,        10,         0,         0,   989.551,        18,       972,        10,         3,    10.202,        71,    431960,    365015,    188905,    691136,       671,      8385
         1,   1935.03,         2,         2,         0,         0,   1601.61,      3038,    63.036,       196,    143.51,        55,     9.745,        55,   3683.13,        38,      3647,        24,         0,         0,   3596.32,        38,      3558,        24,         8,    10.442,        94,    431960,    365015,    188905,    691136,       671,      8385
         1,   1858.06,         1,         4,         0,         0,   1189.38,      2120,    47.634,       152,   129.961,        16,     1.738,        16,   1259.66,        19,      1245,        10,         0,         0,   1243.33,        19,      1228,        10,         2,     7.902,        88,    431960,    365015,    188905,    691136,       671,      8385
         1,      2798,         1,         7,         0,         0,   4071.82,      7409,   185.098,       449,   166.569,        68,    12.356,        68,   4272.97,        51,      4219,        36,         0,         0,   4067.44,        51,      4019,        36,         7,     4.647,        30,    431960,    365015,    188905,    691136,       671,      8385
         1,   1185.37,         1,         2,         0,         0,   1061.12,      1923,    23.819,        77,   124.903,         8,     0.686,         8,   272.046,        13,       263,         4,         0,         0,   273.531,        13,       266,         4,         1,     2.692,        28,    431960,    365015,    188905,    691136,       671,      8385
         1,   3843.59,         1,        10,         0,         0,   7156.09,     13648,   448.492,       931,   212.572,       241,    59.823,       241,   12729.9,       152,     12556,       122,         0,         0,   13082.6,       152,     12901,       122,        13,     1.876,        46,    431960,    365015,    188905,    691136,       671,      8385
         1,   2504.81,         2,         5,         0,         0,   3187.53,      5625,    95.329,       288,    153.72,       108,    20.292,       108,   3080.93,        44,      3029,        31,         0,         0,   2982.68,        44,      2936,        31,         4,    11.916,        79,    431960,    365015,    188905,    691136,       671,      8385
         1,      2274,         1,         3,         0,         0,   2713.97,      4963,    63.326,       212,    137.64,        31,     5.291,        31,    2492.7,        35,      2461,        20,         0,         0,   2820.03,        35,      2791,        20,         7,     5.387,        61,    431960,    365015,    188905,    691136,       671,      8385
         1,   2575.14,         1,         3,         0,         0,   3991.91,      7148,   148.331,       395,   141.942,        43,     9.113,        43,   3849.73,        45,      3803,        32,         0,         0,   3939.65,        45,      3892,        32,         5,    17.776,       138,    431960,    365015,    188905,    691136,       671,      8385
         1,   1600.21,         1,         3,         0,         0,   1405.12,      2462,    44.711,       137,   201.906,        11,     1.639,        11,   509.711,        13,       498,         5,         0,         0,   492.653,        13,       483,         5,         3,     4.832,        50,    431960,    365015,    188905,    691136,       671,      8385
         1,   569.926,         1,         3,         0,         0,   579.618,      1078,     8.017,        30,   131.117,        11,     1.502,        11,   673.203,        13,       661,         6,         0,         0,   670.666,        13,       661,         6,         2,     6.239,        46,    431960,    365015,    188905,    691136,       671,      8385
         1,   2149.36,         1,         4,         0,         0,   2668.08,      5030,    83.821,       235,   156.049,        23,     3.638,        23,   1440.53,        26,      1418,        13,         0,         0,   1441.88,        26,      1420,        13,         6,     8.677,        42,    431960,    365015,    188905,    691136,       671,      8385
         1,   1659.57,         1,         3,         0,         0,   1686.41,      3135,      49.9,       128,   132.886,        10,     1.643,        10,    671.36,        14,       659,         6,         0,         0,   670.552,        14,       660,         6,         2,     5.625,        41,    431960,    365015,    188905,    691136,       671,      8385
