         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   86.4425,         3,         6,         0,         0,   369.051,       499,    77.364,       164,   2323.91,      4249,      1936,      4249,   6490.07,        99,      6361,        76,         0,         0,   6535.06,        99,      6406,        76,        18,     7.513,        44,   22016.1,     27283,     23223,     51413,        63,       157
         1,   73.2498,         1,         5,         0,         0,   218.694,       471,    50.073,       146,   1498.44,      2864,   1161.43,      2864,   8189.39,        97,      8080,        68,         0,         0,   8045.87,        97,      7947,        68,        19,    14.708,       113,   22016.1,     27283,     23223,     51413,        63,       157
         1,    70.859,         5,         2,         0,         0,    273.49,       615,     63.21,       156,   1559.12,      3043,      1336,      3043,   4930.75,        68,      4849,        53,         0,         0,   5043.79,        68,      4951,        53,         9,    17.009,        89,   22016.1,     27283,     23223,     51413,        63,       157
         1,   13.6015,         1,         2,         0,         0,    18.969,        84,     4.099,        26,    16.771,        11,      1.12,        11,   392.877,        14,       386,         5,         0,         0,   438.134,        14,       430,         5,         3,     4.023,        37,   22016.1,     27283,     23223,     51413,        63,       157
         1,   182.848,         5,         9,         0,         0,   249.802,       439,   206.632,       391,   2749.67,      6362,   2727.87,      6362,   19327.1,       273,     18989,       212,         0,         0,   19105.2,       273,     18755,       212,        34,    24.065,       137,   22016.1,     27283,     23223,     51413,        63,       157
         1,   14.8661,         1,         2,         0,         0,    44.965,       105,     3.216,         8,    13.094,         1,     0.024,         1,     0.866,         6,         0,         0,         0,         0,     0.483,         6,         0,         0,         0,     4.601,        49,   22016.1,     27283,     23223,     51413,        63,       157
         1,   54.4059,         3,         2,         0,         0,    71.966,       195,    16.083,        57,   192.492,       420,   136.206,       420,   2890.04,        41,      2850,        32,         0,         0,   2916.02,        41,      2876,        32,         4,    10.695,        59,   22016.1,     27283,     23223,     51413,        63,       157
         1,   49.0408,         1,         2,         0,         0,   202.097,       341,    81.066,       178,    24.862,        15,     1.789,        15,   375.826,        16,       366,         4,         0,         0,   372.861,        16,       364,         4,         4,    22.678,       113,   22016.1,     27283,     23223,     51413,        63,       157
         1,        20,         1,         2,         0,         0,   245.474,       450,    45.968,       129,    13.228,        11,     0.999,        11,   434.076,        15,       425,         5,         0,         0,   431.632,        15,       423,         5,         3,     3.708,        37,   22016.1,     27283,     23223,     51413,        63,       157
         1,   125.526,         5,         5,         0,         0,   255.868,       495,    66.281,       211,   1346.58,      3828,   1238.08,      3828,     12181,       138,     12018,       121,         0,         0,   12485.2,       138,     12319,       121,        12,    33.257,       195,   22016.1,     27283,     23223,     51413,        63,       157
         1,   96.2107,         2,         4,         0,         0,   217.064,       323,   116.558,       223,   317.461,       492,    252.53,       492,   10865.5,       185,     10547,       150,         0,         0,   10217.4,       185,      9916,       150,        21,    26.301,       145,   22016.1,     27283,     23223,     51413,        63,       157
         1,   17.3693,         1,         3,         0,         0,    126.65,       195,      23.5,        78,    14.538,        15,     2.107,        15,   836.674,        17,       821,         9,         0,         0,   830.083,        17,       816,         9,         3,     2.334,        21,   22016.1,     27283,     23223,     51413,        63,       157
         1,    32.573,         1,         2,         0,         0,   148.445,       201,    30.605,        59,    13.486,        12,     1.712,        12,    323.78,        14,       314,         5,         0,         0,   319.979,        14,       311,         5,         3,     4.343,        28,   22016.1,     27283,     23223,     51413,        63,       157
         1,     12.53,         1,         2,         0,         0,    90.782,        69,     8.287,        24,    12.157,         1,     0.023,         1,     0.553,         6,         0,         0,         0,         0,     0.465,         6,         0,         0,         0,     0.084,         8,   22016.1,     27283,     23223,     51413,        63,       157
         1,   13.6015,         1,         2,         0,         0,   205.484,       398,    25.412,        81,    13.845,        17,     4.643,        17,    563.32,        18,       553,         6,         0,         0,   514.432,        18,       504,         6,         6,     6.059,        55,   22016.1,     27283,     23223,     51413,        63,       157
