         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   4276.17,         1,         1,         5,         1,         0,         0,   339.595,      1042,     8.328,        47,         0,         0,         0,         0,   1424.96,        49,      1396,        33,         9,         0,     5.258,        58,    30.021,        42,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     31842,     86199
         1,   3153.92,         1,         1,         6,         1,         0,         0,   237.348,       624,     9.269,        44,         0,         0,         0,         0,   1159.13,        46,      1124,        36,         3,         0,    13.073,        89,      17.7,        29,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     19433,     29406
         1,   5742.65,         1,         1,         4,         1,         0,         0,    927.48,      2409,    15.149,        75,         0,         0,         0,         0,   1545.18,        77,      1484,        54,        17,         0,    13.452,        97,    28.845,        40,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     41744,     24394
         1,   2855.88,         1,         1,         3,         1,         0,         0,   146.288,       456,     2.683,        27,         0,         0,         0,         0,   419.119,        29,       403,        14,         9,         0,    15.419,       152,     15.76,        27,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     50064,     55755
         1,     14413,         1,         1,        14,         1,         0,         0,   3052.41,      7371,   108.888,       445,         0,         0,         0,         0,   17341.6,       449,     16946,       359,        71,         0,   2036.05,      8531,    98.547,       100,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     98524,     92387
         1,   9320.47,         1,         1,        17,         2,         0,         0,   2647.23,      6847,   172.297,       641,         0,         0,         0,         0,   15957.9,       447,     15588,       375,        57,         0,    10.463,        91,    65.648,        71,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     64737,     41940
         1,   4587.24,         1,         1,         5,         2,         0,         0,   405.944,      1260,    18.052,       105,         0,         0,         0,         0,   1901.43,        62,      1851,        45,         6,         0,      9.77,       114,    19.091,        26,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     69992,     49566
         1,   12671.9,         1,         1,        29,         1,         0,         0,   5453.48,     10659,   241.049,       888,         0,         0,         0,         0,     33458,       891,     32706,       769,        92,         0,    11.316,       103,    91.406,       118,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      9122,     91891
         1,   3555.58,         1,         1,         7,         1,         0,         0,   239.548,       733,    10.255,        53,         0,         0,         0,         0,   1332.08,        55,      1290,        44,         3,         0,     2.572,        29,    16.656,        27,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     13603,     23697
         1,   6796.58,         1,         1,         3,         1,         0,         0,   1105.66,      2892,    14.276,        71,         0,         0,         0,         0,   2711.16,        75,      2656,        54,        11,         0,    13.085,        92,    22.553,        33,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      4394,     40114
