k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
3,1239.35,470.673,31.907,48753.9,208113,1499,95,45,678,9000,8385
3,1028.94,593.299,32.797,29706.5,174381,1661,84,25,677,9000,8385
3,773.104,118.844,10.982,4914.71,88243.5,348,26,12,248,9000,8385
3,1549.56,758.35,71.247,15944.8,269400,2480,176,30,1365,9000,8385
3,772.945,351.651,18.983,13559.9,436496,1258,61,27,533,9000,8385
3,1646.85,1065.27,65.986,30283.7,257832,2843,160,58,2503,9000,8385
3,1292.47,588.477,23.842,19933.4,336824,1868,74,29,558,9000,8385
3,1480.39,831.596,30.184,33521.1,87690.9,2904,112,27,627,9000,8385
3,1025.22,601.643,19.235,21857.8,74237.3,1761,51,20,300,9000,8385
3,1401.41,870.053,57.416,21825.5,281190,2476,113,28,798,9000,8385
3,821.485,307.701,15.396,4115.66,68785.9,1114,40,20,204,9000,8385
3,631.731,243.712,16.206,11720.8,261820,667,43,22,1056,9000,8385
3,1079.75,594.587,22.554,29070,59165.7,1905,71,38,297,9000,8385
3,739.451,259.722,10.804,7703.63,38270.4,894,33,26,182,9000,8385
3,1207.92,1098.26,27.831,8407.74,76256.7,3003,82,19,447,9000,8385
3,1406.37,1132.81,56.835,13144.7,386191,3850,121,28,769,9000,8385
3,1003.48,560.569,25.404,15484.3,73151.2,1821,77,24,414,9000,8385
3,1266.18,760.443,35.82,5042.33,56822.3,1960,88,29,623,9000,8385
3,1021,637.324,25.821,20459,196235,1783,66,27,534,9000,8385
3,720.725,496.387,12.952,4828.16,49557.4,1501,33,16,132,9000,8385
3,1472.5,894.142,26.567,12244.1,69325.8,2883,90,28,555,9000,8385
3,1439.12,685.556,42.544,23200,211046,1881,84,35,516,9000,8385
3,1535.18,1170.58,53.679,27606.5,479316,3725,151,49,1935,9000,8385
3,719.261,38.92,9.811,4047.77,25224.3,98,33,15,58,9000,8385
3,921.076,602.768,34.291,6624.94,27843.7,1600,64,26,304,9000,8385
3,880.12,399.359,14.462,9989.55,99569.4,720,37,20,161,9000,8385
3,1183.54,633.276,30.436,38597.3,203577,1960,82,34,1195,9000,8385
3,824.289,298.938,12.847,8096.56,172184,965,37,25,273,9000,8385
3,1751.22,1040.25,52.737,30968.9,408568,3639,148,46,1669,9000,8385
