K,order,dist,cost_ki,cost_edbt,vnum,density
4,3,2574.25,50.814,271745,4,1.08025
4,4,2698.73,50.814,271745,5,1.08025
4,1,458.246,30.704,197611,2,1.08025
4,2,599.564,30.704,197611,2,1.08025
4,3,1868.42,30.704,197611,3,1.08025
4,4,2202.53,30.704,197611,3,1.08025
4,1,236.415,19.494,48813.3,2,1.08025
4,2,657.912,19.494,48813.3,2,1.08025
4,3,1131.47,19.494,48813.3,2,1.08025
4,4,1484.13,19.494,48813.3,2,1.08025
4,1,2093.75,40.222,226240,2,1.08025
4,2,2227.45,40.222,226240,2,1.08025
4,3,2420.9,40.222,226240,3,1.08025
4,4,2762.65,40.222,226240,4,1.08025
4,1,1649.54,32.06,116182,2,1.08025
4,2,1690.91,32.06,116182,3,1.08025
4,3,2308.84,32.06,116182,4,1.08025
4,4,2458.04,32.06,116182,5,1.08025
4,1,615.588,8.762,242677,2,1.08025
4,2,756.789,8.762,242677,2,1.08025
4,3,857.088,8.762,242677,2,1.08025
4,4,895.946,8.762,242677,2,1.08025
4,1,1475.77,40.372,210556,2,1.08025
4,2,1888.93,40.372,210556,2,1.08025
4,3,2223.26,40.372,210556,2,1.08025
4,4,2862.89,40.372,210556,5,1.08025
4,1,196.512,45.484,257918,2,1.08025
4,2,322.94,45.484,257918,2,1.08025
4,3,2398.38,45.484,257918,4,1.08025
4,4,2862.46,45.484,257918,3,1.08025
4,1,382.926,33.102,182525,2,1.08025
4,2,1406.31,33.102,182525,2,1.08025
4,3,1961.49,33.102,182525,2,1.08025
4,4,2454.08,33.102,182525,3,1.08025
4,1,492.476,62.6,199788,2,1.08025
4,2,1013.14,62.6,199788,2,1.08025
4,3,2597.67,62.6,199788,4,1.08025
4,4,3178.18,62.6,199788,4,1.08025
4,1,1101.82,47.341,255994,2,1.08025
4,2,2250.82,47.341,255994,3,1.08025
4,3,3017.65,47.341,255994,2,1.08025
4,4,3273.17,47.341,255994,4,1.08025
4,1,1062.48,31.829,115846,2,1.08025
4,2,1301.33,31.829,115846,2,1.08025
4,3,1411.72,31.829,115846,3,1.08025
4,4,2945.18,31.829,115846,4,1.08025
4,1,256.26,33.147,147018,2,1.08025
4,2,1420.34,33.147,147018,3,1.08025
4,3,2288.48,33.147,147018,2,1.08025
4,4,2449.8,33.147,147018,2,1.08025
4,1,864.279,67.536,233819,2,1.08025
4,2,1765.19,67.536,233819,3,1.08025
4,3,2176.01,67.536,233819,3,1.08025
4,4,3040.42,67.536,233819,3,1.08025
4,1,365.874,7.801,27930.8,2,1.08025
4,2,921.929,7.801,27930.8,2,1.08025
4,3,1025.55,7.801,27930.8,2,1.08025
4,4,1174.15,7.801,27930.8,2,1.08025
4,1,352.346,44.282,292689,2,1.08025
4,2,1461.41,44.282,292689,3,1.08025
4,3,1883.52,44.282,292689,3,1.08025
4,4,2778.58,44.282,292689,3,1.08025
4,1,493.705,28.806,98253.4,2,1.08025
4,2,1762.64,28.806,98253.4,3,1.08025
4,3,2609.85,28.806,98253.4,5,1.08025
4,4,2765.22,28.806,98253.4,3,1.08025
4,1,846.691,6.761,36005.1,2,1.08025
4,2,1383.81,6.761,36005.1,2,1.08025
4,3,1479.32,6.761,36005.1,2,1.08025
4,4,2016.93,6.761,36005.1,2,1.08025
4,1,1189.71,29.104,85754.4,2,1.08025
4,2,1506.18,29.104,85754.4,2,1.08025
4,3,2180.81,29.104,85754.4,2,1.08025
4,4,2625.39,29.104,85754.4,2,1.08025
4,1,1265.02,35.118,217379,2,1.08025
4,2,1603.51,35.118,217379,3,1.08025
4,3,1634.98,35.118,217379,6,1.08025
4,4,2397.41,35.118,217379,6,1.08025
4,1,2111.57,79.996,361376,3,1.08025
4,2,2670.23,79.996,361376,3,1.08025
4,3,3466.68,79.996,361376,4,1.08025
4,4,4297.34,79.996,361376,8,1.08025
4,1,601.043,47.156,205627,2,1.08025
4,2,2113.66,47.156,205627,2,1.08025
4,3,3226.74,47.156,205627,3,1.08025
4,4,3341.45,47.156,205627,4,1.08025
4,1,941.379,32.2,151167,3,1.08025
4,2,2897.08,32.2,151167,4,1.08025
4,3,2968.19,32.2,151167,2,1.08025
4,4,3026.73,32.2,151167,5,1.08025
4,1,821.76,66.703,414584,2,1.08025
4,2,2730.67,66.703,414584,4,1.08025
4,3,3378.68,66.703,414584,3,1.08025
4,4,3493.25,66.703,414584,2,1.08025
4,1,759.979,26.65,97579.4,2,1.08025
4,2,1452.45,26.65,97579.4,2,1.08025
4,3,1666.8,26.65,97579.4,4,1.08025
4,4,1953.98,26.65,97579.4,4,1.08025
4,1,1498.67,18.456,107090,2,1.08025
4,2,1552.46,18.456,107090,2,1.08025
4,3,1619.54,18.456,107090,2,1.08025
4,4,1902.01,18.456,107090,2,1.08025
4,1,1470.33,56.531,239617,3,1.08025
4,2,2724.1,56.531,239617,2,1.08025
4,3,2980.45,56.531,239617,6,1.08025
4,4,3548.39,56.531,239617,4,1.08025
4,1,1922.57,66.704,206836,3,1.08025
4,2,2181.72,66.704,206836,4,1.08025
4,3,3657.35,66.704,206836,4,1.08025
4,4,3758.13,66.704,206836,4,1.08025
4,1,788.001,27.264,132685,2,1.08025
4,2,1415.97,27.264,132685,2,1.08025
4,3,1588.7,27.264,132685,2,1.08025
4,4,2466.68,27.264,132685,4,1.08025
4,1,493.632,13.392,96182.1,2,1.08025
4,2,770.56,13.392,96182.1,2,1.08025
4,3,1150.81,13.392,96182.1,2,1.08025
4,4,1362.16,13.392,96182.1,2,1.08025
4,1,561.385,43.903,118760,2,1.08025
4,2,3143.58,43.903,118760,4,1.08025
4,3,3203.44,43.903,118760,4,1.08025
4,4,3396.98,43.903,118760,5,1.08025
4,1,921.745,35.895,312820,2,1.08025
4,2,1824.4,35.895,312820,2,1.08025
4,3,1826.82,35.895,312820,2,1.08025
