vertices: 3940, polygons: 4498
       idx,    K,order,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        59,    5,    3,             2660.97,             2660.97,               16.78,              411011,         2,         2
        59,    5,    4,             3285.57,             3285.57,               16.78,              411011,         3,         3
        60,    5,    0,                   0,                   0,              17.075,             33952.4,         1,         2
        60,    5,    1,             454.089,             454.089,              17.075,             33952.4,         2,         2
        60,    5,    2,             3018.77,             3018.77,              17.075,             33952.4,         3,         3
        60,    5,    3,             4437.18,             4437.18,              17.075,             33952.4,         4,         4
        60,    5,    4,             4458.77,             4458.77,              17.075,             33952.4,         4,         4
        61,    5,    0,                   0,                   0,              14.629,               58348,         1,         2
        61,    5,    1,             3918.25,             3918.25,              14.629,               58348,         2,         2
        61,    5,    2,             4879.44,             4879.44,              14.629,               58348,         2,         2
        61,    5,    3,             5182.79,             5182.79,              14.629,               58348,         3,         3
        61,    5,    4,             5536.04,             5536.04,              14.629,               58348,         2,         2
        62,    5,    0,                   0,                   0,               9.652,             29292.3,         1,         2
        62,    5,    1,             637.781,             637.781,               9.652,             29292.3,         2,         2
        62,    5,    2,             2120.95,             2120.95,               9.652,             29292.3,         2,         2
        62,    5,    3,             2600.76,             2600.76,               9.652,             29292.3,         2,         2
        62,    5,    4,             3517.54,             3517.54,               9.652,             29292.3,         2,         2
        63,    5,    0,                   0,                   0,               7.701,             18848.2,         1,         2
        63,    5,    1,             1173.89,             1173.89,               7.701,             18848.2,         2,         2
        63,    5,    2,             1783.53,             1783.53,               7.701,             18848.2,         2,         2
        63,    5,    3,             2539.17,             2539.17,               7.701,             18848.2,         2,         2
        63,    5,    4,             3888.52,             3888.52,               7.701,             18848.2,         2,         2
        64,    5,    0,                   0,                   0,               6.652,             15450.9,         1,         2
        64,    5,    1,             1845.33,             1845.33,               6.652,             15450.9,         2,         2
        64,    5,    2,             1932.83,             1932.83,               6.652,             15450.9,         2,         2
        64,    5,    3,             3044.98,             3044.98,               6.652,             15450.9,         4,         4
        64,    5,    4,             3458.36,             3458.36,               6.652,             15450.9,         4,         4
        65,    5,    0,                   0,                   0,              22.706,              104421,         1,         2
        65,    5,    1,             2084.81,             2084.81,              22.706,              104421,         2,         2
        65,    5,    2,             3379.79,             3379.79,              22.706,              104421,         2,         2
        65,    5,    3,             3919.87,             3919.87,              22.706,              104421,         4,         4
        65,    5,    4,             4155.23,             4155.23,              22.706,              104421,         2,         2
        66,    5,    0,                   0,                   0,              14.996,             32705.5,         1,         2
        66,    5,    1,             1144.54,             1144.54,              14.996,             32705.5,         2,         2
        66,    5,    2,             1159.76,             1159.76,              14.996,             32705.5,         2,         2
        66,    5,    3,             3317.05,             3317.05,              14.996,             32705.5,         2,         2
        66,    5,    4,             4224.79,             4224.79,              14.996,             32705.5,         2,         2
        67,    5,    0,                   0,                   0,               5.413,             12227.5,         1,         2
        67,    5,    1,             202.485,             202.485,               5.413,             12227.5,         2,         2
        67,    5,    2,             1534.47,             1534.47,               5.413,             12227.5,         2,         2
        67,    5,    3,             1632.71,             1632.71,               5.413,             12227.5,         2,         2
        67,    5,    4,              2138.1,              2138.1,               5.413,             12227.5,         3,         3
        68,    5,    0,                   0,                   0,              10.098,             45836.5,         1,         2
        68,    5,    1,             1731.49,             1731.49,              10.098,             45836.5,         2,         2
        68,    5,    2,             2315.62,             2315.62,              10.098,             45836.5,         2,         2
        68,    5,    3,             2576.72,             2576.72,              10.098,             45836.5,         2,         2
        68,    5,    4,             2913.97,             2913.97,              10.098,             45836.5,         2,         2
        69,    5,    0,                   0,                   0,              22.236,             44844.7,         1,         2
        69,    5,    1,             602.835,             602.835,              22.236,             44844.7,         2,         2
        69,    5,    2,             1048.21,             1048.21,              22.236,             44844.7,         2,         2
