         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         1,     18050,    191912,    358366,   21591.9,      1305,     20551,      1106,         0,   9689.99,     20075,   79974.3,    171414,    446514,    413370,    188905,    374639,        15,      8385
         1,   26653.7,    206396,    390160,   17153.1,      1067,     16297,       881,         0,   17871.1,     35093,    149050,    314651,    446514,    413370,    188905,    374639,        15,      8385
         1,   17299.1,    147247,    291474,   17412.9,       998,     16535,       832,         0,   12493.6,     25954,   89626.5,    196484,    446514,    413370,    188905,    374639,        15,      8385
         1,     15511,    171800,    328754,   16302.4,       989,     15491,       824,         0,   10089.6,     20511,     76962,    155001,    446514,    413370,    188905,    374639,        15,      8385
         1,   9508.95,   56031.7,    126374,   5067.36,       314,      4841,       257,         0,   2558.77,      6855,   24136.4,     64673,    446514,    413370,    188905,    374639,        15,      8385
         1,   18527.9,    107287,    219376,   13534.8,       823,     12863,       688,         0,   10843.7,     21527,   89737.7,    195998,    446514,    413370,    188905,    374639,        15,      8385
         1,   5512.26,   31303.8,     79206,    834.95,        63,       800,        42,         0,   626.591,      1931,   7238.56,     22822,    446514,    413370,    188905,    374639,        15,      8385
         1,   2764.94,    134429,    261885,   374.763,        32,       356,        21,         0,    85.246,       373,   2490.61,      6744,    446514,    413370,    188905,    374639,        15,      8385
         1,   8310.78,   46647.2,    112814,   1169.02,        83,      1109,        62,         0,   2106.79,      5757,     19356,     52685,    446514,    413370,    188905,    374639,        15,      8385
         1,   17427.6,   40301.1,     98978,   8118.02,       493,      7702,       401,         0,   14352.2,     29965,    102642,    221310,    446514,    413370,    188905,    374639,        15,      8385
         1,   23960.1,    138740,    286824,   16893.3,      1049,     16068,       875,         0,   11236.5,     24026,   96043.1,    225955,    446514,    413370,    188905,    374639,        15,      8385
         1,   15203.6,   40740.8,     99956,   10131.6,       587,      9658,       491,         0,   9566.28,     21025,     76122,    170287,    446514,    413370,    188905,    374639,        15,      8385
         1,   12402.8,   91340.2,    193541,   11689.6,       686,     11143,       580,         0,   5949.85,     14078,   48015.5,    116486,    446514,    413370,    188905,    374639,        15,      8385
         1,   7027.79,   32371.5,     85265,   869.842,        66,       827,        47,         0,   1176.25,      3446,   13006.5,     40637,    446514,    413370,    188905,    374639,        15,      8385
         1,   12401.5,   80532.7,    179302,   8403.88,       519,      7983,       433,         0,   5572.42,     13510,   45727.8,    116220,    446514,    413370,    188905,    374639,        15,      8385
         1,   9030.46,     68342,    149573,    3051.7,       206,      2912,       159,         0,   2503.49,      6620,   24460.1,     61226,    446514,    413370,    188905,    374639,        15,      8385
         1,   13213.7,   54989.3,    131704,   3371.83,       209,      3217,       170,         0,   6526.95,     15213,   50437.3,    118588,    446514,    413370,    188905,    374639,        15,      8385
         1,   19202.8,   96098.3,    215874,   18470.6,      1124,     17538,       934,         0,   16303.8,     33912,    117541,    238785,    446514,    413370,    188905,    374639,        15,      8385
         1,   21535.9,   51424.4,    120242,   20971.7,      1266,     19878,      1055,         0,   24102.3,     48160,    158459,    315641,    446514,    413370,    188905,    374639,        15,      8385
         1,   8704.49,   77523.1,    163433,   3047.15,       202,      2905,       163,         0,   2109.88,      5988,   25931.4,     61742,    446514,    413370,    188905,    374639,        15,      8385
         1,   8138.08,   62139.1,    138454,   3551.52,       231,      3382,       185,         0,   1554.98,      4537,   17751.7,     50093,    446514,    413370,    188905,    374639,        15,      8385
         1,   5562.32,   58759.1,    128330,   2509.04,       169,      2391,       133,         0,   658.828,      2181,    9507.5,     26606,    446514,    413370,    188905,    374639,        15,      8385
         1,   17269.8,   43018.9,    107038,   22465.5,      1319,     21284,      1122,         0,   13994.5,     28802,   98126.1,    213287,    446514,    413370,    188905,    374639,        15,      8385
         1,   12943.2,   90193.5,    186227,   2810.19,       201,      2665,       153,         0,   6076.34,     14216,   54644.7,    127092,    446514,    413370,    188905,    374639,        15,      8385
         1,   8187.25,   74589.9,    173592,   3595.32,       210,      3448,       168,         0,   1660.27,      4889,   18994.6,     56064,    446514,    413370,    188905,    374639,        15,      8385
         1,   2894.11,     86044,    189220,   927.221,        67,       884,        51,         0,    96.519,       397,   3013.68,      9220,    446514,    413370,    188905,    374639,        15,      8385
         1,   5009.63,   91092.8,    192540,   1117.68,        77,      1074,        56,         0,    592.61,      1755,    6384.8,     18135,    446514,    413370,    188905,    374639,        15,      8385
         1,   24952.5,    110946,    238695,   55312.4,      3211,     52259,      2771,         0,   22591.5,     42487,    153912,    314772,    446514,    413370,    188905,    374639,        15,      8385
         1,   17244.8,    102349,    221287,   9106.94,       571,      8673,       469,         0,     10441,     22845,   83834.4,    190877,    446514,    413370,    188905,    374639,        15,      8385
         1,   14835.6,   75638.5,    161291,   5481.41,       365,      5214,       291,         0,   8645.74,     19927,   72052.6,    158484,    446514,    413370,    188905,    374639,        15,      8385
         1,     27268,    172507,    327755,   29512.6,      1841,     28061,      1531,         0,   24333.1,     45051,    168842,    347651,    446514,    413370,    188905,    374639,        15,      8385
         1,   22381.5,    125252,    251359,     42593,      2517,     40317,      2131,         0,   16576.7,     33718,    126362,    265100,    446514,    413370,    188905,    374639,        15,      8385
         1,   6076.26,   92469.9,    194319,   3899.51,       239,      3724,       202,         0,   397.321,      1266,   6425.05,     19094,    446514,    413370,    188905,    374639,        15,      8385
         1,   6510.99,   77127.3,    167981,   2199.47,       144,      2102,       111,         0,   1099.23,      3076,   12134.6,     34159,    446514,    413370,    188905,    374639,        15,      8385
         1,   5861.24,   57128.1,    127131,   1934.51,       124,      1853,       100,         0,   644.321,      2126,      8448,     24901,    446514,    413370,    188905,    374639,        15,      8385
         1,   19194.7,   63106.6,    149812,   30761.4,      1837,     29147,      1533,         0,   18621.4,     37671,    125870,    253719,    446514,    413370,    188905,    374639,        15,      8385
         1,   9016.07,    104517,    220571,   1442.41,       102,      1364,        71,         0,   2345.63,      6378,   25053.5,     64855,    446514,    413370,    188905,    374639,        15,      8385
