k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,28164,39193.2,14964.8,9255.46,2857.54,8136,2055,29,86350,83943,29657,29012,2766,1244,1200,23,1047,0,1244,1200,23,264,0,278934,317068,133402,290906,6,5862
1,1,12014.5,7605.5,2905.89,4318.62,1678.85,3825,1278,18,20517,19862,7733,7514,461,600,581,6,488,0,600,581,6,173,0,278934,317068,133402,290906,6,5862
1,1,24766.6,23775.2,17031,14331.5,4226.01,12628,3007,31,58438,56709,35127,34320,3369,1907,1826,36,1607,0,1907,1826,36,388,0,278934,317068,133402,290906,6,5862
1,1,10256.7,13263.5,1456.07,1639.06,484.234,1467,339,5,35115,34015,3872,3732,211,234,224,0,190,0,234,224,0,41,0,278934,317068,133402,290906,6,5862
1,1,7774.6,7621.14,927.35,550.844,305.765,492,249,4,20074,19438,2886,2801,119,82,79,0,62,0,82,79,0,31,0,278934,317068,133402,290906,6,5862
1,1,30654.4,20575.2,21905.7,28755.2,9530.64,25039,6754,28,49465,48037,43873,42904,4262,3763,3647,95,3220,0,3838,3718,102,866,0,278934,317068,133402,290906,6,5862
1,1,21762.8,13334.5,12687.3,9873.44,3113.43,8685,2238,16,34868,33800,27699,27065,2516,1326,1280,27,1122,0,1326,1280,27,277,0,278934,317068,133402,290906,6,5862
1,1,25315.7,18022.7,23552.9,12587.5,3836.6,11094,2771,20,44280,42985,46874,45832,4465,1657,1603,32,1391,0,1657,1603,32,338,0,278934,317068,133402,290906,6,5862
1,1,23713,25408,18914.3,10365.1,3211.67,9156,2328,25,61264,59444,38401,37526,3617,1375,1327,30,1146,0,1375,1327,30,292,0,278934,317068,133402,290906,6,5862
1,1,24186,25256.8,18222.4,13046.5,4049.32,11451,2951,34,61178,59351,37513,36658,3555,1717,1647,45,1436,0,1717,1647,45,371,0,278934,317068,133402,290906,6,5862
1,1,31451.7,31642,27060.8,27455.1,8279.98,24077,5855,42,76052,73859,52151,51064,5134,3595,3467,100,3055,0,3595,3467,100,740,0,278934,317068,133402,290906,6,5862
1,1,21469.9,31580.6,10889.3,4769.11,1443.48,4208,1028,16,71132,69157,23735,23209,2004,656,631,2,536,0,656,631,2,135,0,278934,317068,133402,290906,6,5862
1,1,8764.1,4995.52,1222.47,827.566,353.703,733,267,11,14425,13972,3832,3727,181,128,125,0,100,0,128,125,0,37,0,278934,317068,133402,290906,6,5862
1,1,8295.69,9916.76,1226.82,615.815,217.401,557,164,10,28517,27600,3512,3392,194,85,82,0,65,0,85,82,0,20,0,278934,317068,133402,290906,6,5862
1,1,49916,37581.8,67906.5,60813.5,18645.9,52916,12800,28,84206,81993,111051,109029,11565,7649,7454,184,6567,0,6903,6723,159,1548,0,278934,317068,133402,290906,6,5862
1,1,33135.2,41235.5,20695.5,13093.5,4553.04,11483,3254,18,88972,86564,40660,39838,4017,1743,1678,28,1458,0,1743,1678,28,342,0,278934,317068,133402,290906,6,5862
1,1,7318.49,16977.1,899.075,877.386,238.594,780,166,7,43741,42384,2659,2577,111,123,119,0,102,0,123,119,0,20,0,278934,317068,133402,290906,6,5862
1,1,9109.92,8625.95,1566.89,1215.42,428.532,1082,319,15,22457,21733,4542,4419,252,171,162,0,141,0,171,162,0,44,0,278934,317068,133402,290906,6,5862
1,1,29236.4,20806,20722.3,21493.1,6145.98,19091,4412,38,49806,48301,41102,40187,3975,2438,2358,46,2086,0,2438,2358,46,577,0,278934,317068,133402,290906,6,5862
1,1,8220.48,9621.38,1313.31,934.979,317.539,841,237,13,26839,25977,3570,3443,197,136,129,0,106,0,136,129,0,29,0,278934,317068,133402,290906,6,5862
1,1,32699.6,34096,28563.1,34508.3,10011.4,30320,6960,36,76986,74814,47651,46644,4700,4260,4111,120,3656,0,4260,4111,120,875,0,278934,317068,133402,290906,6,5862
1,1,29882.8,32343.2,29286.4,11015.6,4103.48,9681,3064,16,69324,67445,50851,49836,5267,1458,1416,36,1212,0,1458,1416,36,380,0,278934,317068,133402,290906,6,5862
