K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
9,9,84412.1,86314.5,504544,397140,315024,87,124834,121539,103649,406907,400895,386159,38505,2667127,54177,62780,54912,2126,215692,57311,10042,10,8100
9,9,73374,64420.8,583020,475916,395371,70,114359,111143,93396,445599,438623,425235,43042,2825964,52415,63497,55276,1929,191943,58010,12595,10,8100
9,9,116747,294106,755907,1.50169e+06,1.19319e+06,146,378848,369522,322545,554256,547037,534824,49987,3976893,153949,183443,165395,5836,696683,168847,33168,10,8100
9,9,67991.3,77416.8,386507,440858,362942,39,124099,120658,101906,337308,331876,316468,33392,2033248,52121,62769,54628,1913,192078,57446,12104,10,8100
9,9,77489.3,65835.8,583406,468140,388299,72,115974,112634,94490,449861,442865,429022,43049,2873151,49226,61561,53830,1830,180841,56453,13799,10,8100
9,9,75985.9,54774.8,482228,356204,304040,24,93885,91097,75626,401815,395496,380183,38081,2493475,36117,47604,41229,894,116299,43754,12601,10,8100
9,9,83576.9,86629.9,576809,548523,457632,63,141969,137972,116570,447566,440838,425640,42920,2891153,56205,72148,63622,2201,218826,66521,17532,10,8100
9,9,99340.1,192822,687267,1.08389e+06,886689,111,262651,256186,222361,514619,507478,495118,47857,3441912,108555,131149,118046,4204,476288,120496,25173,10,8100
9,9,75481,114009,311186,473246,387789,5,156084,152015,129619,291362,286852,272386,29303,1768838,51259,62720,54556,1702,196152,57447,12853,10,8100
9,9,78523.3,73725.1,572338,465859,387125,68,120085,116703,98185,445779,438915,424501,42740,2842986,48429,61858,54412,1851,183136,56896,14818,10,8100
9,9,86764.2,94679.5,537354,537872,444999,40,151755,147521,124982,426845,420625,403981,41187,2783200,59343,73987,65305,2009,232881,68119,16291,10,8100
9,9,83343.5,107198,659173,700031,560024,110,174286,169675,144707,481972,474793,464288,46914,3214236,85786,100298,88390,2870,350524,91536,16730,10,8100
9,9,79946.1,115055,618008,790096,650697,89,178296,173673,148522,472546,465435,453099,45892,3031657,82780,98282,87026,2906,334490,89811,17582,10,8100
9,9,102116,207513,702748,1.2071e+06,964164,120,277547,270683,234859,522743,515537,504280,49470,3659367,132492,153053,136873,4493,586474,140031,23748,10,8100
9,9,81339.4,99200.3,644368,646688,519528,71,149949,145862,123947,477772,470556,458417,46134,3148548,79537,94807,83424,2706,315578,86512,17448,10,8100
9,9,61398.3,53959.3,581914,542703,447024,77,99766,96907,80796,436017,428875,413701,43249,2597792,61922,72589,62786,2267,215637,66017,12472,10,8100
9,9,102255,192507,737732,1.20638e+06,967254,121,274690,267937,232298,523325,516112,504797,49187,3662137,131488,152013,135922,4406,582008,139057,23671,10,8100
9,9,72182.8,86426.2,602546,706388,576958,92,145217,141128,119283,454876,447716,435336,45156,2903991,77575,90015,78493,2826,295985,81926,14633,10,8100
9,9,92225.6,132511,638345,792491,646069,109,198477,193213,164656,493441,486384,474607,45913,3294923,85287,104115,91901,2918,341519,95231,21090,10,8100
9,9,66014,71117.3,577364,628922,514123,91,126728,123153,103446,436041,429015,415230,43620,2690998,73580,83749,72547,2744,270054,76025,12240,10,8100
9,9,68780.7,81754.6,331865,365208,294490,59,125144,121754,103225,304400,299539,284908,30705,1833764,48070,56622,49076,1658,181850,51546,9885,10,8100
9,9,78304.4,98561.1,611168,651798,531229,45,150936,146735,124555,455722,448745,435484,44230,2956283,76652,89402,78206,2562,295950,81443,14915,10,8100
9,9,73152.1,61244.8,600063,481851,400928,82,112931,109747,92085,453395,446271,433433,43682,2892041,53731,65916,57447,1946,196300,60250,13722,10,8100
9,9,91352.4,111663,637787,617226,506922,82,173186,168511,144125,487635,480613,465770,46478,3249570,68930,85784,76442,2585,278673,79020,18679,10,8100
9,9,84676.8,115958,642022,716259,572223,104,175190,170550,145401,482387,475220,464828,46855,3236339,83673,97667,85910,2846,335855,89135,16186,10,8100
9,9,58986.6,51855.9,544187,527288,435356,80,99348,96557,80505,420839,413873,397405,41993,2447115,57091,64851,55845,2172,199880,58873,9401,10,8100
9,9,69919.4,47051.8,606247,418580,330080,62,87047,84516,70497,454215,447048,434469,43786,2875806,60508,68478,59036,2108,209336,62086,9672,10,8100
9,9,77778.1,73678.9,422406,420626,358036,31,117879,114495,96192,371052,365231,349593,36115,2274690,40309,53266,46262,1042,138885,49053,14193,10,8100
9,9,103465,197274,680702,959626,769754,129,250512,244192,210792,525881,518692,507443,47550,3583943,99615,122362,110050,3748,440380,112569,25180,10,8100
9,9,93495.5,140578,680544,780231,631201,128,207655,202083,173331,495303,488209,476669,46824,3368499,85403,103358,91780,3262,349921,94832,20207,10,8100
9,9,97534.3,187627,657740,983427,787638,115,258343,251699,218020,500098,493147,477977,46125,3361049,110652,132326,117992,4399,471346,121034,24491,10,8100
9,9,74898.1,58213,416872,322573,275734,7,94686,91909,76616,360541,354779,338990,34966,2177284,30285,42441,36963,759,99054,39216,13106,10,8100
9,9,94119.2,167749,648649,983948,800863,102,241444,235380,203576,501697,494584,482078,46974,3317367,101838,123057,110281,3702,439994,112929,23694,10,8100
9,9,73951.1,84705.4,587495,621960,508306,85,140494,136644,115738,450987,443994,430842,43770,2846791,72445,85760,74971,2617,273302,78033,15307,10,8100
9,9,66528.5,62523.5,628519,603956,496294,92,118232,114956,96625,462277,454913,442550,46173,2897110,70626,80875,70178,2588,254853,73472,12250,10,8100
9,9,74838.8,99285.9,613568,687557,554883,91,157815,153467,130232,463815,456639,445139,45904,3001272,81557,93699,81786,2782,319115,85260,14408,10,8100
9,9,98313.5,137254,705967,774481,602359,92,202054,196876,169746,528120,520802,507272,49166,3602391,97693,115928,103209,3912,411635,106550,20743,10,8100
9,9,98191.9,133227,692079,695900,564024,84,203615,198318,170672,512071,505005,490025,47860,3492656,75787,94696,84844,2849,322744,87430,20861,10,8100
9,9,81558.3,104514,630211,689917,555208,119,163228,158681,134986,471850,464789,453310,45968,3133333,80581,93349,81929,2966,319492,85141,14958,10,8100
9,9,77676.9,98684.3,552954,683243,547935,90,159268,155094,131799,445044,438288,423901,42920,2817271,81846,95766,83851,2993,321265,87276,16110,10,8100
9,9,72929,88449.8,630470,640804,512931,89,138759,134935,114106,465077,457819,446580,46557,2991759,76308,86632,75421,2791,296427,78800,12423,10,8100
9,9,95020,128949,681705,716578,586326,80,190710,185496,158410,505051,497882,483834,47070,3422355,74776,93262,82803,3078,306370,85858,20539,10,8100
9,9,90815.8,143094,675157,932431,743004,98,203515,198390,171248,507987,500646,489242,48663,3418225,108569,124777,110814,4095,468717,114019,18926,10,8100
9,9,66569.2,65090.3,462870,434523,357238,66,113788,110619,93205,375670,369556,353133,36540,2263788,51736,62322,54180,1978,182073,56976,12044,10,8100
9,9,75227.3,60461,409494,352977,303903,4,99402,96530,80809,355937,350260,334467,34593,2149039,30820,43495,38073,832,103294,40227,13632,10,8100
9,9,86227.8,87194.6,416511,389885,317586,12,126128,122667,103555,362722,357431,340328,35098,2290029,43136,54854,47712,1419,157706,50380,12971,10,8100
9,9,67411,61682.6,528381,456550,376395,73,104407,101431,84854,420933,414142,398236,41371,2574323,52578,62838,54683,1999,183966,57451,11757,10,8100
9,9,83990.5,112084,604043,703363,563166,99,170237,165671,140964,470215,463225,449610,44356,3044441,83286,99114,87142,3050,328026,90425,18076,10,8100
9,9,87485.7,105907,677246,728821,586812,72,163926,159475,135825,490626,483354,471004,46815,3278393,84900,102399,90496,2951,339659,93680,19833,10,8100
9,9,77814.5,69694.1,387314,377282,318482,15,112897,109656,91565,348900,343461,327665,34105,2120257,37849,49775,42851,1041,129137,45723,13125,10,8100
9,9,74100.5,64212.5,508852,418499,350140,59,108376,105271,88299,414019,407517,392582,39945,2583759,43588,55162,48129,1576,159014,50709,12882,10,8100
9,9,82556.8,133152,625563,855732,697748,99,204396,199120,170971,474803,467708,455475,45594,3051735,91798,109221,97312,3333,384355,99920,19716,10,8100
9,9,73912.6,87999,323498,357751,286358,14,130675,127218,108593,302417,297697,283006,30911,1840039,44647,53292,46102,1632,166304,48619,9914,10,8100
9,9,76188.1,97863,576629,651732,528765,96,151441,147376,125131,450140,443211,429695,43323,2846167,77977,91887,80423,2839,298758,83688,16023,10,8100
9,9,112050,289016,761202,1.43333e+06,1.14908e+06,144,347751,339489,295652,544170,537021,525447,50444,3896964,142717,170553,153551,5144,646132,157064,31167,10,8100
9,9,89891.9,115905,510708,535956,429737,30,163831,159409,135243,413007,407105,389968,39449,2705099,59752,74004,65494,2007,246164,68203,15855,10,8100
9,9,83576.9,89276.1,521066,543348,444697,39,139183,135281,114146,413290,407122,390726,40367,2660916,57403,71033,62488,1951,222027,65276,15228,10,8100
9,9,95221.8,157791,668182,861036,694740,122,219493,213617,182764,499946,492809,481857,47106,3428433,94425,113811,100786,3439,383513,104405,21879,10,8100
